youtube_url,timestamp,frame_path,openai_caption
https://www.youtube.com/watch?v=lm_K_5nwhCk,0:07:25,/Users/emilyhyf/CS231n-1/data/frames/0.jpg,"The image depicts a bird perched inside a cage. The bird has a black head and back with a vibrant orange-brown underbelly. Its tail is long and has black and white feathers. The bird is standing on a wooden perch, with its body facing slightly to the side, giving a clear view of its plumage. The surrounding cage bars are visible, suggesting the bird is in captivity. The background is blurred, focusing attention on the bird."
https://www.youtube.com/watch?v=E-As4tECwcQ,0:04:45,/Users/emilyhyf/CS231n-1/data/frames/1.jpg,"The image does not feature any animals. It shows a hand holding a metal ring with bolt holes, likely a machined component. The background includes a workbench covered with metal shavings and tools, indicative of a workshop setting."
https://www.youtube.com/watch?v=fdt3_-KXOhE,0:05:35,/Users/emilyhyf/CS231n-1/data/frames/2.jpg,"The image shows a white horse with a rider, both prepared for an equestrian event. The horse is standing still, poised in front of a large wooden obstacle. The rider is wearing a helmet, vest, and saddle gear, indicating participation in a competitive event. The background features lush greenery, with trees and grass creating a natural setting. The presence of flags and signage suggests this is a part of a structured competition course."
https://www.youtube.com/watch?v=KW7e8Ez9yfA,0:01:45,/Users/emilyhyf/CS231n-1/data/frames/3.jpg,The image features a small brown puppy actively playing with a person. The puppy is gripping and pulling on an object held by the person's hands. The scene takes place on a checkered floor pattern of white and reddish-brown tiles. The interaction suggests a playful tug-of-war game between the puppy and the person.
https://www.youtube.com/watch?v=0rhb_K228gA,0:00:35,/Users/emilyhyf/CS231n-1/data/frames/4.jpg,"The image shows a black dog with a shiny coat standing indoors, facing a window. The dog appears to be looking outside, with its head turned towards the light coming through the window. The room has wooden walls and a glimpse of a red upholstered sofa is visible on the left side. The dog seems attentive, possibly observing something outside."
https://www.youtube.com/watch?v=EkmHGd0U8yE,0:01:45,/Users/emilyhyf/CS231n-1/data/frames/5.jpg,"I can't see any animals in this image. It shows a group of musicians on stage. There's a pianist, a violinist, and a cellist performing in formal attire. They appear focused and engaged in playing their instruments, likely performing a classical piece. The ambiance suggests a formal concert setting."
https://www.youtube.com/watch?v=1NYANpd5Grs,0:02:45,/Users/emilyhyf/CS231n-1/data/frames/6.jpg,"The image shows a dog eating a piece of raw meat. The dog has its mouth open wide as it pulls at the meat, showcasing an action of chewing or tearing. The meat appears fresh and is placed on a light-colored surface, likely a cloth or towel. The dog is focused on eating, indicating it is fully engaged in consuming the meal."
https://www.youtube.com/watch?v=w74S086g_q0,0:00:45,/Users/emilyhyf/CS231n-1/data/frames/7.jpg,"The image features a tabby cat with a distinct striped coat, sitting indoors near a window. The cat is mid-yawn or meowing, with its mouth open and teeth visible. Its ears are perked up, and there is natural light coming in from the window, illuminating its face. The background is slightly blurred, showing some indoor plants and furniture."
https://www.youtube.com/watch?v=GgMt9e2SsX4,0:00:33,/Users/emilyhyf/CS231n-1/data/frames/8.jpg,"The image shows a small, fluffy dog standing on a bed with a floral patterned cover. The dog appears to be a light-colored breed, possibly with long hair. It is standing upright on the bed, with its front legs slightly bent, and its head tilted upward. The dog seems to be in a playful or animated stance, possibly barking or howling. The room is simply furnished, with a door in the background and some objects on a side table."
https://www.youtube.com/watch?v=AATdlGzJZNw,0:00:35,/Users/emilyhyf/CS231n-1/data/frames/9.jpg,"The image depicts several horses with mounted riders, dressed in formal uniforms, arranged in a formation. The horses are primarily standing still, with the riders positioned upright. The scene appears to be set on a grassy field and the animals look calm and disciplined, indicating a formal equestrian display or ceremony. The background is somewhat misty, adding to the formal and organized atmosphere."
